Wall time,Step,A2C_reward
1718051637,5600000,470.9856262
1718051640,5620000,484.5344849
1718051644,5640000,480.8580017
1718051648,5660000,481.4144592
1718051652,5680000,473.3907166
1718051655,5700000,454.0800781
1718051659,5720000,462.4182129
1718051663,5740000,463.3128052
1718051666,5760000,434.2807312
1718051670,5780000,454.7753906
1718051673,5800000,428.8074341
1718051677,5820000,447.2686462
1718051680,5840000,451.4865723
1718051684,5860000,460.0340881
1718051688,5880000,411.3962097
1718051691,5900000,469.713501
1718051695,5920000,485.1414795
1718051699,5940000,482.4939575
1718051702,5960000,488.0160828
1718051706,5980000,500.8088379
1718051709,6000000,492.1276245
1718051713,6020000,467.5635071
1718051717,6040000,451.9521484
1718051720,6060000,441.3398438
1718051724,6080000,454.5444031
1718051727,6100000,436.028595
1718051731,6120000,472.5185547
1718051735,6140000,453.989563
1718051738,6160000,463.9028625
1718051742,6180000,428.5338745
1718051746,6200000,483.7219238
1718051749,6220000,489.7662354
1718051753,6240000,461.1385498
1718051757,6260000,460.5798035
1718051760,6280000,460.3059387
1718051764,6300000,488.9918823
1718051767,6320000,498.3049622
1718051771,6340000,492.1903076
1718051775,6360000,513.6741943
1718051779,6380000,491.9933472
1718051782,6400000,500.8747559
1718051786,6420000,485.145874
1718051790,6440000,481.4899292
1718051794,6460000,472.7139587
1718051797,6480000,421.8052673
1718051801,6500000,478.975769
1718051804,6520000,487.0115967
1718051808,6540000,495.8241882
1718051812,6560000,467.4917297
1718051816,6580000,464.3430176
1718051819,6600000,467.8825073
1718051823,6620000,470.2572632
1718051827,6640000,472.4126282
1718051830,6660000,426.7409668
1718051834,6680000,462.8532715
1718051838,6700000,464.5569458
1718051841,6720000,464.2720337
1718051845,6740000,489.5025635
1718051849,6760000,466.9672546
1718051853,6780000,464.5855408
1718051856,6800000,475.3742065
1718051860,6820000,463.3752747
1718051864,6840000,487.722229
1718051868,6860000,481.0848083
1718051872,6880000,493.6366882
1718051875,6900000,504.4082336
1718051879,6920000,513.0587158
1718051883,6940000,497.467804
1718051887,6960000,496.2974854
1718051891,6980000,502.3522949
1718051894,7000000,490.0446777
1718051898,7020000,481.1282043
1718051902,7040000,505.9864502
1718051906,7060000,475.8729248
1718051910,7080000,441.7443848
1718051914,7100000,445.4899597
1718051917,7120000,440.7603149
1718051922,7140000,447.7582703
1718051925,7160000,472.8457947
1718051929,7180000,483.7426147
1718051933,7200000,508.9465332
1718051937,7220000,487.3620605
1718051941,7240000,491.8345642
1718051944,7260000,498.5426636
1718051948,7280000,491.60495
1718051952,7300000,493.519165
1718051956,7320000,501.5718994
1718051960,7340000,499.125946
1718051964,7360000,474.723114
1718051967,7380000,520.5444336
1718051971,7400000,514.7810059
1718051975,7420000,535.9534302
1718051979,7440000,492.9846191
1718051983,7460000,503.7636719
1718051986,7480000,489.0960999
1718051990,7500000,514.149292
1718051994,7520000,499.4912415
1718051998,7540000,504.1781921
1718052002,7560000,492.730011
1718052005,7580000,499.3807373
1718052009,7600000,519.2736816
1718052013,7620000,501.4241333
1718052017,7640000,501.3904724
1718052021,7660000,496.1019897
1718052024,7680000,509.2562866
1718052028,7700000,527.8549194
1718052032,7720000,518.961853
1718052036,7740000,524.7908936
1718052040,7760000,521.0391235
1718052044,7780000,503.2749939
1718052047,7800000,506.3442688
1718052050,7820000,514.0174561
1718052054,7840000,535.4501343
1718052057,7860000,530.6122437
1718052061,7880000,503.786438
1718052064,7900000,504.8519287
1718052068,7920000,497.1919556
1718052072,7940000,496.3751221
1718052076,7960000,461.5753479
1718052080,7980000,462.7939758
1718052084,8000000,475.2535095
1718052087,8020000,496.7080383
1718052091,8040000,463.0964966
1718052095,8060000,506.9616699
1718052099,8080000,487.5552063
1718052103,8100000,489.5142212
1718052107,8120000,478.9740601
1718052111,8140000,464.5614929
1718052115,8160000,491.8328247
1718052118,8180000,458.467926
1718052122,8200000,505.7399292
1718052126,8220000,512.7906494
1718052130,8240000,493.4062195
1718052134,8260000,457.4118347
1718052138,8280000,465.4474487
1718052142,8300000,450.4136963
1718052146,8320000,435.9568481
1718052150,8340000,456.0405884
1718052154,8360000,466.2825928
1718052157,8380000,460.1860962
1718052161,8400000,463.51474
1718052165,8420000,457.8511353
1718052169,8440000,450.9292908
1718052173,8460000,421.3667603
1718052177,8480000,435.7902832
1718052182,8500000,419.6570435
1718052186,8520000,429.2155457
1718052189,8540000,455.1078796
1718052193,8560000,500.7175903
1718052196,8580000,454.6394653
1718052200,8600000,469.8799744
1718052203,8620000,494.6645813
1718052207,8640000,474.236084
1718052210,8660000,471.4771423
1718052213,8680000,481.4217529
1718052217,8700000,499.9590759
1718052220,8720000,495.2203369
1718052223,8740000,415.6015625
1718052227,8760000,441.742981
1718052230,8780000,426.1893616
1718052233,8800000,451.1921387
1718052237,8820000,441.6379395
1718052240,8840000,464.2592163
1718052244,8860000,471.7615662
1718052247,8880000,442.1914063
1718052251,8900000,432.702179
1718052254,8920000,468.4605408
1718052257,8940000,486.053009
1718052261,8960000,485.2809753
1718052264,8980000,447.5923767
1718052267,9000000,459.5209656
1718052271,9020000,488.8111267
1718052274,9040000,483.8275757
1718052277,9060000,492.5975037
1718052281,9080000,476.9719849
1718052284,9100000,474.6030884
1718052287,9120000,497.4942322
1718052291,9140000,488.6208496
1718052294,9160000,516.5042725
1718052297,9180000,491.796875
1718052301,9200000,508.3593445
1718052304,9220000,495.5323792
1718052307,9240000,503.4546509
1718052311,9260000,479.0963135
1718052314,9280000,462.631012
1718052317,9300000,508.5375366
1718052321,9320000,495.2945251
1718052324,9340000,357.6114197
1718052328,9360000,306.6199951
1718052332,9380000,429.6865234
1718052335,9400000,441.9736023
1718052339,9420000,452.4053955
1718052343,9440000,481.5664063
1718052346,9460000,471.2151489
1718052349,9480000,470.072998
1718052353,9500000,431.9799194
1718052356,9520000,459.9177856
1718052359,9540000,474.7202454
1718052363,9560000,468.6049194
